id,startdate,submitdate,lastpage,treatment,willingnessjobrec1,willingnessjobrec2,paffect1,paffect2,paffect3,paffect4,paffect5,paffect6,naffect1,naffect2,naffect3,naffect4,naffect5,naffect6,turnover1,turnover2,turnover3,prosocialimpact1,prosocialimpact2,prosocialimpact3,manipulationcheck,taskvariety1,taskvariety2,taskvariety3,taskvariety4,taskvariety5,taskanalyz1,taskanalyz2,taskanalyz3,taskanalyz4,attention1,autonomy1,autonomy2,autonomy3,beneficiaries1,beneficiaries2,attention2,manager,gender,yearbirth,educator,sector,subsector,atwork,duration_treatment_general,duration_treatment_prosocial,duration_treatment_societal
1,2017-12-11T12:01:04Z,2017-12-11T12:12:38Z,11,4,5,2,7,7,7,5,5,4,1,1,1,1,1,1,5,2,3,7,7,7,2,5,5,5,5,5,5,5,5,5,3,3,4,2,6,7,1,0,0,1986,0,1,0,0,,,168.63
2,2017-12-11T12:01:12Z,2017-12-11T12:21:02Z,11,3,4,2,7,6,7,7,6,5,2,1,2,1,2,1,4,2,3,6,7,6,2,4,4,5,5,3,2,3,4,,3,5,7,6,5,6,1,2,1,1976,1,3,5,1,,772.21,
3,2017-12-11T12:06:06Z,2017-12-11T12:13:25Z,11,3,5,1,7,7,7,7,7,7,1,1,1,1,1,1,7,1,1,7,7,7,2,3,3,3,3,3,5,5,4,5,3,5,5,5,7,7,1,0,1,1970,1,1,2,0,,256.52,
4,2017-12-11T12:06:43Z,2017-12-11T12:16:14Z,11,4,5,2,5,6,5,5,5,6,1,1,1,1,1,1,6,2,2,6,6,6,3,2,2,2,2,2,4,4,3,4,3,6,6,6,6,6,1,0,1,1981,1,3,3,0,,,335.6
5,2017-12-11T12:10:32Z,2017-12-11T12:16:16Z,11,3,2,4,3,5,5,5,2,5,2,5,1,5,1,1,3,6,5,7,7,7,2,3,4,5,4,4,3,3,2,2,3,5,5,5,7,7,1,1,1,1967,1,1,2,0,,81.81,
6,2017-12-11T12:11:04Z,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017-12-11T12:15:08Z,2017-12-11T12:20:35Z,11,4,4,2,4,5,5,5,5,4,1,1,1,1,1,1,6,2,2,6,6,6,3,3,3,2,3,3,2,3,3,3,3,6,6,6,5,6,1,1,0,1963,1,1,5,0,,,148.26
8,2017-12-11T12:26:57Z,2017-12-11T12:30:47Z,11,1,5,1,6,6,6,6,4,6,1,1,1,1,1,1,7,1,1,7,7,7,,3,3,3,2,2,4,5,5,4,3,6,6,6,7,7,7,0,1,1963,1,1,1,0,,,
9,2017-12-11T12:27:08Z,2017-12-11T12:44:39Z,11,4,4,2,6,6,6,6,6,6,2,2,2,2,2,2,6,2,2,7,7,7,3,3,3,3,3,3,4,4,4,4,3,6,6,6,7,6,1,0,0,1980,1,3,1,1,,,393.39
10,2017-12-11T12:31:22Z,2017-12-11T12:40:55Z,11,1,5,1,7,7,7,7,6,7,1,1,1,1,1,1,7,1,1,7,7,7,,3,3,3,3,3,4,5,4,4,3,6,6,6,6,6,1,0,1,1950,1,1,1,0,,,
